"Levande födda efter region, moderns ålder, kön och år"

"region","moderns ålder","kön","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"00 Riket","42 år","kvinnor",188,170,150,128,130,106,93,88,82,67,90,111,106,120,112,107,139,168,203,191,205,210,248,235,235,210,238,218,191,200,229,245,218,233,288,296,321,335,383,455,408,474,475,456,475,467,447,460,501,522,468
"00 Riket","43 år","män",135,117,111,107,85,67,59,55,51,59,52,67,51,81,85,61,87,91,130,142,118,130,155,174,155,160,150,126,147,147,159,146,153,163,139,165,202,187,236,273,259,271,270,248,316,298,297,295,332,352,315
"00 Riket","43 år","kvinnor",129,104,89,98,95,67,60,55,60,56,40,67,58,64,58,80,76,101,108,119,123,119,133,168,130,157,146,129,137,133,122,128,146,154,155,165,184,207,229,242,257,283,263,243,253,306,301,296,329,328,287
"00 Riket","44 år","män",76,67,66,66,36,43,40,30,31,24,26,28,34,23,36,44,56,52,53,83,65,66,96,81,84,80,78,88,71,78,75,91,76,69,90,90,121,87,118,157,141,176,172,175,174,125,170,164,197,192,167
"00 Riket","44 år","kvinnor",74,90,60,59,54,48,37,37,32,30,26,30,35,40,34,46,52,46,50,60,73,66,72,70,84,71,74,58,76,55,82,80,90,74,100,98,99,112,118,126,134,154,157,151,156,153,178,148,169,186,191
"00 Riket","45 år","män",38,46,39,36,24,29,16,18,20,22,12,12,21,18,17,19,17,29,23,41,35,28,29,40,50,34,24,36,31,24,37,35,42,43,51,42,47,53,50,68,72,73,104,88,112,95,80,100,108,112,115
"00 Riket","45 år","kvinnor",56,40,32,30,24,20,22,15,16,18,12,12,15,15,26,18,15,23,24,22,36,32,32,37,42,28,39,29,26,38,34,34,31,36,43,53,54,67,42,46,57,71,92,91,90,74,75,75,104,118,81
"00 Riket","46 år","män",18,27,30,18,17,13,11,11,9,6,6,9,6,5,2,10,14,9,11,7,11,21,16,20,17,18,22,12,22,11,20,13,24,19,19,19,11,19,24,28,39,39,48,34,39,29,47,52,52,57,52
"00 Riket","46 år","kvinnor",13,17,22,9,7,18,9,6,9,6,9,6,4,8,7,5,10,10,12,11,10,14,11,19,12,11,16,21,15,16,18,15,19,13,13,23,22,38,35,29,41,38,39,43,48,46,56,41,47,44,59
"00 Riket","47 år","män",10,11,10,8,6,6,6,2,8,1,3,3,2,2,6,6,4,3,6,6,3,8,9,8,7,5,10,4,10,2,7,12,5,7,10,7,10,15,19,13,14,18,24,16,26,29,28,21,29,31,26
"00 Riket","47 år","kvinnor",7,11,5,3,4,10,4,3,5,5,4,2,3,0,6,4,5,3,1,4,6,4,5,6,18,10,7,5,8,9,3,5,9,8,6,11,8,6,17,23,8,15,21,19,21,22,24,27,24,30,27
"00 Riket","48 år","män",5,7,4,5,4,3,1,3,1,0,2,0,2,4,3,1,1,2,0,0,1,1,2,2,3,2,3,2,2,2,5,1,3,1,3,4,7,4,8,6,6,6,5,7,13,13,16,15,13,15,12
"00 Riket","48 år","kvinnor",4,2,5,1,3,4,0,4,0,2,2,0,0,2,2,0,3,0,0,1,0,2,1,1,2,1,0,4,1,4,3,2,6,5,4,4,6,3,4,10,8,9,9,8,12,19,16,13,11,10,16
"00 Riket","49+ år","män",2,4,5,2,0,1,1,2,1,2,0,0,0,0,1,0,0,2,2,1,1,1,0,2,1,5,1,3,1,2,2,5,6,4,3,2,4,6,4,12,6,10,11,11,24,26,20,25,30,43,31
"00 Riket","49+ år","kvinnor",4,3,1,2,0,1,0,0,1,0,0,1,0,0,1,3,0,1,1,0,2,0,3,2,2,1,2,1,1,4,0,3,3,4,5,3,3,4,8,12,5,20,11,19,25,21,17,30,16,26,23
"00 Riket","uppgift saknas","män",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"00 Riket","uppgift saknas","kvinnor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
